id,english_question,original_translation,fixed
8,Which airports does Air China serve?,¿A qué aeropuertos sirve Air China?,¿En qué aeropuertos opera Air China?
19,Who created the comic Captain America?,¿Quién creó el cómico Capitán América?,¿Quién creó el cómic Capitán América?
34,Show me all basketball players that are higher than 2 meters.,Muéstrame a todos los jugadores de baloncesto que están por encima de los 2 metros.,Muéstrame a todos los jugadores de baloncesto que miden al menos 2 metros.
39,What movies does Jesse Eisenberg play in?,¿En qué películas interpreta Jesse Eisenberg?,¿En qué películas actua Jesse Eisenberg?
55,Give me the capitals of all countries that the Himalayas run through.,Dame las capitales de todos los países a través de los Himalayas.,Dame las capitales de todos los países por los que pasa el Himalaya.
93,What is the net income of Apple?,¿Cuál es la renta neta de Apple?,¿Cuánto es el ingreso neto de Apple?
94,Give me all Swedish holidays.,Dame todas las vacaciones suecas.,Dame todas los días festivos suecos.
117,Which ships were called after Benjamin Franklin?,¿Qué barcos fueron llamados después de Benjamin Franklin?,¿Qué barcos fueron llamados en honor a Benjamin Franklin?
124,Which films starring Clint Eastwood did he direct himself?,¿Qué películas protagonizadas por Clint Eastwood se dirigió a sí mismo?,¿Qué películas protagonizadas por Clint Eastwood dirigió el mismo?
131,Is Christian Bale starring in Batman Begins?,¿Está Christian Bale protagonizando Batman Begins?,¿Batman Begins es protagonizando por Christian Bale?
133,Which actor was casted in the most movies?,¿Qué actor fue lanzado en la mayoría de las películas?,¿Qué actor participó en más películas?
160,Does the new Battlestar Galactica series have more episodes than the old one?,¿La nueva serie Battlestar Galactica tiene más episodios que el anterior?,¿Tiene la nueva serie Battlestar Galactica más episodios que la antigua?
180,Is Darth Vader Luke’s father?,¿ Es el padre de Darth Vader Luke?,¿ Es Darth Vader padre de Luke?
184,Who produced films starring Natalie Portman?,¿Quién produjo películas protagonizadas por Natalie Portman?,¿Quiénes produjeron películas protagonizadas por Natalie Portman?
185,Give me all breeds of the German Shepherd dog.,Dame todas las razas del perro pastor alemán.,Dame todas los tipos de pastor alemán.
196,Which airports does Yeti Airlines serve?,¿A qué aeropuertos sirve Yeti Airlines?,¿En qué aeropuertos opera Yeti Airlines?
214,Are tree frogs a type of amphibian?,¿Las ranas de los árboles son un tipo de anfibio?,¿Las ranas de árbol son un tipo de anfibio?
216,how much is the elevation of Düsseldorf Airport ?,¿Cuánto cuesta la elevación del aeropuerto de Düsseldorf?,¿A qué altura esta aeropuerto de Düsseldorf?
227,Is the wife of President Obama called Michelle?,¿La esposa del presidente Obama se llama Michelle?,¿Es el nombre de la esposa del presidente Obama Michelle?
245,Was the wife of president Lincoln called Mary?,¿La esposa del presidente Lincoln se llamaba Mary?,¿Era Mary el nombre de la esposa del presidente Lincoln?
247,In which programming language is GIMP written?,¿En qué lenguaje de programación se escribe GIMP?,¿En qué lenguaje de programación esta escritó GIMP?
260,Give me the runtime of Toy Story.,Dame el tiempo de ejecución de Toy Story.,Dame el tiempo de duración de Toy Story.
288,how much is the population densty rank of germany?,¿Cuánto es el rango de densty de la población de Alemania?,¿Cuánto es el rango de densidad de la población de Alemania?
314,Is Christian Bale starring in Velvet Goldmine?,¿Está Christian Bale protagonizando Velvet Goldmine?,¿Christian Bale protagoniza  Velvet Goldmine?
336,Do Prince Harry and Prince William have the same parents?,¿El príncipe Harry y el príncipe Guillermo tienen los mismos padres?,¿El príncipe Harry y el príncipe William tienen los mismos padres?
339,Who was Vincent van Gogh inspired by?,¿Quién se inspiró en Vincent van Gogh?,¿En quién se inspiró Vincent van Gogh?
357,What is the bridge with the longest span?,¿Cuál es el puente con el mayor espacio?,¿Cuál es el puente con el mayor tramo?
392,How tall is Amazon Eve?,¿Qué altura tiene Amazon Eve?,¿Cuánto mide Amazon Eve?
397,Who wrote the Game of Thrones theme?,¿Quién escribió el tema Juego de Tronos?,¿Quién escribió el tema de Juego de Tronos?
401,Who writes the Farmers' Almanac?,¿Quién escribe el Almanac de los Agricultores?,¿Quién escribió  the Farmers' Almanac?
412,Give me all actors starring in Last Action Hero.,Dame a todos los actores protagonizados por Última Acción Hero.,Dame a todos los actores que protagonizaron El último gran héroe.